CustomerID,Segment_Label,Recency,Frequency,Monetary,AvgOrderValue,Tenure,AvgGapDays,Churn_Probability,Churn_Prediction,Risk_Tier,Recommended_Action
12346,Champions,325,12,77556.46,6463.038333333334,725,35.90909090909091,,,Lapsed,[Lapsed] VIP Win-Back: Personal call + exclusive loyalty reward + free shipping
12347,Champions,1,8,4921.53,615.19125,403,57.0,0.2392369955778122,0.0,Low,Retain: Enrol in VIP loyalty program + send thank-you offer
12348,At Risk,74,5,2019.3999999999999,403.88,437,90.5,0.3700081408023834,0.0,Medium,Re-engage: Best-seller showcase email + 15% discount
12349,Promising,18,4,4428.6900000000005,1107.1725000000001,588,189.66666666666666,0.387795090675354,0.0,Medium,Nudge: Reminder email + product recommendation + limited offer
12350,Lost Customers,309,1,334.40000000000003,334.40000000000003,309,,,,Lapsed,[Lapsed] Last Chance: Final win-back email + maximum discount
12351,Lost Customers,374,1,300.93,300.93,374,,,,Lapsed,[Lapsed] Last Chance: Final win-back email + maximum discount
12352,Champions,35,10,2849.84,284.98400000000004,392,39.22222222222222,0.183243989944458,0.0,Low,Retain: Enrol in VIP loyalty program + send thank-you offer
12353,Lost Customers,203,2,406.76,203.38,408,204.0,,,Lapsed,[Lapsed] Last Chance: Final win-back email + maximum discount
12354,Lost Customers,231,1,1079.4,1079.4,231,,,,Lapsed,[Lapsed] Last Chance: Final win-back email + maximum discount
12355,At Risk,213,2,947.6100000000001,473.80500000000006,567,353.0,,,Lapsed,[Lapsed] Recovery: Time-limited 30% win-back discount + feedback survey
12356,Champions,22,6,6373.68,1062.28,424,79.8,0.33766746520996094,0.0,Low,Retain: Enrol in VIP loyalty program + send thank-you offer
12357,Champions,32,3,18287.66,6095.886666666666,388,177.5,0.4477243423461914,0.0,Medium,Early Alert: Personalised product recommendation based on past purchases
12358,Champions,1,5,3887.07,777.414,731,182.0,0.46647563576698303,0.0,Medium,Early Alert: Personalised product recommendation based on past purchases
12359,Champions,57,10,8935.939999999999,893.5939999999998,733,74.88888888888889,0.31621333956718445,0.0,Low,Retain: Enrol in VIP loyalty program + send thank-you offer
12360,At Risk,51,8,4252.889999999999,531.6112499999999,655,85.71428571428571,0.35535717010498047,0.0,Medium,Re-engage: Best-seller showcase email + 15% discount
12361,At Risk,286,4,511.25,127.8125,681,131.0,,,Lapsed,[Lapsed] Recovery: Time-limited 30% win-back discount + feedback survey
12362,Champions,2,11,5356.2300000000005,486.93000000000006,738,73.0,0.21062776446342468,0.0,Low,Retain: Enrol in VIP loyalty program + send thank-you offer
12363,Lost Customers,109,2,552.0,276.0,241,132.0,0.4872678220272064,0.0,Medium,Re-activation: Welcome-back campaign + highlight what's new
