CustomerID,Segment_Label,Recency,Frequency,Monetary,AvgOrderValue,Tenure,AvgGapDays,Churn_Probability,Churn_Prediction,Risk_Tier,Recommended_Action
15766,Promising,63,3,831.0600000000001,277.02000000000004,681,308.5,0.6745148301124573,1.0,High,Urgent Re-engage: 20% discount coupon + highlight new arrivals
17172,At Risk,78,3,956.5699999999999,318.8566666666666,726,323.5,0.6745148301124573,1.0,High,Recovery: Time-limited 30% win-back discount + feedback survey
15243,Promising,73,2,927.28,463.64,434,360.0,0.6745148301124573,1.0,High,Urgent Re-engage: 20% discount coupon + highlight new arrivals
16715,Promising,77,2,625.52,312.76,562,484.0,0.6693094968795776,1.0,High,Urgent Re-engage: 20% discount coupon + highlight new arrivals
12519,Promising,63,2,726.5400000000001,363.27000000000004,476,413.0,0.6693094968795776,1.0,High,Urgent Re-engage: 20% discount coupon + highlight new arrivals
13441,Promising,91,2,720.9,360.45,431,339.0,0.6687624454498291,1.0,High,Urgent Re-engage: 20% discount coupon + highlight new arrivals
17433,Promising,87,2,569.96,284.98,384,297.0,0.6687624454498291,1.0,High,Urgent Re-engage: 20% discount coupon + highlight new arrivals
16641,Lost Customers,105,2,554.5,277.25,701,596.0,0.6684665679931641,1.0,High,Last Chance: Final win-back email + maximum discount
17070,Lost Customers,113,2,445.32,222.66,409,296.0,0.6678852438926697,1.0,High,Last Chance: Final win-back email + maximum discount
17248,Lost Customers,119,2,546.16,273.08,481,361.0,0.6678852438926697,1.0,High,Last Chance: Final win-back email + maximum discount
13927,Promising,74,2,708.26,354.13,436,362.0,0.6675500869750977,1.0,High,Urgent Re-engage: 20% discount coupon + highlight new arrivals
14079,Lost Customers,124,2,618.73,309.365,681,557.0,0.6675500869750977,1.0,High,Last Chance: Final win-back email + maximum discount
13177,Promising,64,2,512.2,256.1,430,365.0,0.6670376658439636,1.0,High,Urgent Re-engage: 20% discount coupon + highlight new arrivals
15396,At Risk,112,2,796.3800000000001,398.19000000000005,583,471.0,0.6670376658439636,1.0,High,Recovery: Time-limited 30% win-back discount + feedback survey
14908,Promising,73,2,381.90000000000003,190.95000000000002,462,388.0,0.6670376658439636,1.0,High,Urgent Re-engage: 20% discount coupon + highlight new arrivals
13359,Promising,63,2,1043.31,521.655,402,339.0,0.6666738986968994,1.0,High,Urgent Re-engage: 20% discount coupon + highlight new arrivals
16527,At Risk,80,2,1272.44,636.22,423,343.0,0.6661471128463745,1.0,High,Recovery: Time-limited 30% win-back discount + feedback survey
15313,Lost Customers,109,1,52.0,52.0,109,,0.6660829782485962,1.0,High,Last Chance: Final win-back email + maximum discount
13218,Lost Customers,126,1,62.64,62.64,126,,0.6660829782485962,1.0,High,Last Chance: Final win-back email + maximum discount
17747,Lost Customers,112,1,71.4,71.4,112,,0.6660829782485962,1.0,High,Last Chance: Final win-back email + maximum discount
