CustomerID,Recency,Frequency,Monetary,Cluster,Segment_Label
12346,325,12,77556.46,3,Champions
12347,1,8,4921.53,3,Champions
12348,74,5,2019.4,1,At Risk
12349,18,4,4428.69,0,Promising
12350,309,1,334.4,2,Lost Customers
12351,374,1,300.93,2,Lost Customers
12352,35,10,2849.84,3,Champions
12353,203,2,406.76,2,Lost Customers
12354,231,1,1079.4,2,Lost Customers
12355,213,2,947.61,1,At Risk
12356,22,6,6373.68,3,Champions
12357,32,3,18287.66,3,Champions
12358,1,5,3887.07,3,Champions
12359,57,10,8935.94,3,Champions
12360,51,8,4252.89,1,At Risk
12361,286,4,511.25,1,At Risk
12362,2,11,5356.23,3,Champions
12363,109,2,552.0,2,Lost Customers
12364,7,4,1313.1,0,Promising
12365,290,2,641.38,2,Lost Customers
12366,633,1,500.24,2,Lost Customers
12367,3,1,168.9,0,Promising
12368,627,1,917.6999999999999,2,Lost Customers
12369,412,3,1791.15,1,At Risk
12370,50,7,4320.31,1,At Risk
12371,44,5,4067.38,1,At Risk
12372,71,3,1298.04,1,At Risk
12373,310,3,1127.65,1,At Risk
12374,24,4,2989.2200000000003,0,Promising
12375,10,2,457.5,0,Promising
12376,389,2,503.15,2,Lost Customers
12377,314,4,3426.32,1,At Risk
12378,129,2,5416.32,1,At Risk
12379,81,4,1620.22,1,At Risk
12380,21,11,9676.300000000001,3,Champions
12381,4,5,1845.31,0,Promising
12383,184,5,1850.56,1,At Risk
12384,28,2,585.27,0,Promising
12385,378,1,1938.4,1,At Risk
12386,337,2,401.9,2,Lost Customers
12387,414,1,143.94,2,Lost Customers
12388,15,8,3901.11,3,Champions
12389,402,3,1433.33,1,At Risk
12390,79,1,549.84,2,Lost Customers
12391,21,6,2773.42,3,Champions
12392,590,1,234.75000000000003,2,Lost Customers
12393,71,6,2399.4500000000003,1,At Risk
12394,63,2,1272.48,0,Promising
12395,18,15,4721.17,3,Champions
12396,673,1,931.43,2,Lost Customers
12397,35,2,2409.9,0,Promising
12398,45,1,1635.6599999999999,0,Promising
12399,118,7,1962.3,1,At Risk
12400,413,1,205.25,2,Lost Customers
12401,302,1,84.3,2,Lost Customers
12402,322,6,1256.9,1,At Risk
12403,49,2,1019.36,0,Promising
12404,681,1,63.24,2,Lost Customers
12405,148,1,1710.39,1,At Risk
12406,21,5,6390.36,3,Champions
12407,49,5,1708.1200000000001,1,At Risk
12408,32,8,4340.7699999999995,3,Champions
12409,78,7,23419.29,3,Champions
12410,308,3,1013.71,1,At Risk
12411,409,1,346.9,2,Lost Customers
12412,74,6,2596.93,1,At Risk
12413,66,4,999.45,1,At Risk
12414,216,6,952.41,1,At Risk
12415,23,28,144458.37,3,Champions
12416,656,1,202.56,2,Lost Customers
12417,2,20,6816.91,3,Champions
12418,112,4,2021.2,1,At Risk
12419,385,2,503.01,2,Lost Customers
12420,63,1,600.39,0,Promising
12421,15,6,1098.6,0,Promising
12422,95,17,5231.8,3,Champions
12423,0,10,2622.39,3,Champions
12424,162,4,3340.03,1,At Risk
12425,77,2,1741.41,1,At Risk
12426,194,2,1345.21,1,At Risk
12427,21,3,825.8,0,Promising
12428,25,9,7956.46,3,Champions
12429,8,8,6204.41,3,Champions
12430,42,1,256.4,0,Promising
12431,35,27,10499.72,3,Champions
12432,42,5,5059.32,1,At Risk
12433,0,10,16794.14,3,Champions
12434,84,3,1103.43,1,At Risk
12435,79,6,13925.93,1,At Risk
12436,99,1,509.01,2,Lost Customers
12437,1,39,12683.4,3,Champions
12438,13,2,2906.85,0,Promising
12439,682,2,1158.18,2,Lost Customers
12440,461,2,859.2,2,Lost Customers
12441,366,1,173.55,2,Lost Customers
12442,2,1,172.06,0,Promising
12443,731,1,485.31,2,Lost Customers
12444,20,5,5005.46,3,Champions
12445,21,2,434.98,0,Promising
12446,57,1,1002.3100000000001,0,Promising
12447,242,1,476.49,2,Lost Customers
12448,43,1,449.45,0,Promising
12449,21,6,4835.89,3,Champions
12450,155,5,688.2,1,At Risk
12451,10,8,12669.88,3,Champions
12452,16,2,430.57,0,Promising
12453,133,1,707.09,2,Lost Customers
12454,55,5,16679.78,3,Champions
12455,72,10,5879.95,3,Champions
12456,43,3,3181.04,1,At Risk
12457,65,8,2995.91,1,At Risk
