Month,Predicted_Revenue,Lower_Bound,Upper_Bound,Trend,Actual_Revenue
2009-12,708930.2,574646.76,838705.78,691331.55,686654.16
2010-01,472473.52,342307.57,601921.93,692460.29,557319.06
2010-02,549587.26,418135.9,674850.47,693589.04,506371.07
2010-03,584039.58,456902.51,714661.17,694608.55,699608.99
2010-04,555558.68,432421.49,693227.46,695737.29,594609.19
2010-05,623876.98,483988.03,755530.93,696829.63,599985.79
2010-06,644878.7,511008.58,770468.84,697958.37,639066.58
2010-07,586006.52,459023.26,728579.45,699050.71,591636.74
2010-08,637165.42,513114.42,761282.05,700179.45,604242.65
2010-09,847158.21,715392.3,978778.48,701308.2,831615.0
2010-10,1088658.67,948774.22,1216993.67,702400.53,1036680.0
2010-11,1077862.54,944041.93,1212548.3,703529.27,1172336.04
2010-12,725795.34,588966.69,857609.72,704621.61,572713.89
2011-01,481892.86,345779.31,616595.77,705751.72,569445.04
2011-02,559230.47,429182.11,682654.33,706881.83,447137.35
2011-03,595484.42,466868.45,723199.54,707902.58,595500.76
2011-04,566022.07,438419.49,695836.16,709032.69,469200.36
2011-05,635101.93,511459.2,773716.13,710126.35,678594.56
2011-06,657570.0,525936.22,792603.67,711256.46,661213.69
2011-07,597429.67,462231.78,729559.6,712350.12,600091.01
2011-08,648142.28,515447.43,779633.31,713480.23,645343.9
2011-09,861069.87,733792.56,986877.72,714610.35,952838.38
2011-10,1107803.71,974440.24,1253449.96,715704.01,1039318.79
2011-11,1100137.6,966600.77,1236758.08,716834.12,1161817.38
2011-12,742809.1,610695.96,878107.16,717927.78,
2012-01,491361.58,355626.97,610378.61,719057.89,
2012-02,568844.22,444580.63,692637.94,720188.0,
2012-03,605871.66,482430.22,739233.16,721245.21,
2012-04,577172.07,442176.79,704552.32,722375.32,
2012-05,649098.58,516287.25,788961.1,723468.98,
2012-06,668647.3,542587.09,805341.27,724599.09,
